file,method,ARI,Silhouette,GeneCorr,missing_fraction,run,Marker_CD34,Marker_SPINK2,Marker_SLAMF7,Marker_CD27,Marker_PF4,Marker_PPBP,Marker_CD79B,Marker_CD79A,Marker_MS4A1,Marker_CD19,Marker_CD72,Marker_CD40,Marker_CD22,Marker_NKG7,Marker_GZMB,Marker_FGFBP2,Marker_SPON2,Marker_KLRC1,Marker_KLRD1,Marker_MS4A7,Marker_FCN1,Marker_S100A12,Marker_S100A9,Marker_S100A8,Marker_FCGR3A,Marker_CD14,Marker_LDHB,Marker_CD4,Marker_CD8B,Marker_CD8A,Marker_CD3D,Marker_CD3E,Marker_CD3G
adata_softimpute_imputed_mf20_run6.h5ad,SoftImpute,1.0,,0.8226712087345435,0.2,6,,,,,0.651868999004364,0.6469724774360657,,0.8459303975105286,0.7790018916130066,,,,,,0.811164140701294,0.7939537167549133,,0.7917921543121338,,,,0.8526352643966675,,,,,,,,,,,
adata_softimpute_imputed_mf20_run7.h5ad,SoftImpute,1.0,,0.8209992720874938,0.2,7,,,,,0.6408641338348389,0.6627102494239807,,0.787961483001709,0.7870285511016846,,,,,,0.8254801630973816,0.787871241569519,,0.7694606184959412,,,,0.8188626170158386,,,,,,,,,,,
adata_softimpute_imputed_mf20_run8.h5ad,SoftImpute,1.0,,0.8195371242142985,0.2,8,,,,,0.6420884132385254,0.656505823135376,,0.7820302844047546,0.8041091561317444,,,,,,0.7949573397636414,0.8044146299362183,,0.7926576137542725,,,,0.8587079048156738,,,,,,,,,,,
adata_softimpute_imputed_mf20_run9.h5ad,SoftImpute,1.0,,0.8198329278367501,0.2,9,,,,,0.6413354277610779,0.6454154253005981,,0.8091319799423218,0.7938082814216614,,,,,,0.7984986305236816,0.7946090698242188,,0.7913429737091064,,,,0.8208096027374268,,,,,,,,,,,
adata_softimpute_imputed_mf30_run1.h5ad,SoftImpute,1.0,,0.7697483582991757,0.3,1,,,,,0.6842923760414124,0.6876260638237,,0.7285140752792358,0.7108151912689209,,,,,,0.716269850730896,0.69199138879776,,0.7412028312683105,,,,0.8858733773231506,,,,,,,,,,,
adata_softimpute_imputed_mf30_run10.h5ad,SoftImpute,1.0,,0.7686776391019717,0.3,10,,,,,0.6849358081817627,0.6696555018424988,,0.3876812160015106,0.23704996705055237,,,,,,0.7189265489578247,0.6965894103050232,,0.725001335144043,,,,0.8437014818191528,,,,,,,,,,,
adata_softimpute_imputed_mf30_run2.h5ad,SoftImpute,1.0,,0.7642983993713454,0.3,2,,,,,0.6809653043746948,0.7035011053085327,,0.39089104533195496,0.7397964596748352,,,,,,0.6969000101089478,0.6947202086448669,,0.6595922112464905,,,,0.9038424491882324,,,,,,,,,,,
adata_softimpute_imputed_mf30_run3.h5ad,SoftImpute,1.0,,0.7702223764609378,0.3,3,,,,,0.6776764392852783,0.6958550810813904,,0.6850771307945251,0.6856619119644165,,,,,,0.6913757920265198,0.7106151580810547,,0.719809353351593,,,,0.9112018942832947,,,,,,,,,,,
adata_softimpute_imputed_mf30_run4.h5ad,SoftImpute,1.0,,0.769511030085483,0.3,4,,,,,0.6849790215492249,0.684219479560852,,0.42027392983436584,0.7185940146446228,,,,,,0.6975228786468506,0.6936129927635193,,0.7103748917579651,,,,0.8650906085968018,,,,,,,,,,,
adata_softimpute_imputed_mf30_run5.h5ad,SoftImpute,1.0,,0.7653210164711486,0.3,5,,,,,0.6797919869422913,0.6999479532241821,,0.6968146562576294,0.656996488571167,,,,,,0.7167017459869385,0.6873182654380798,,0.6980390548706055,,,,0.8784382343292236,,,,,,,,,,,
